"ParticipantID","western_female","eastern_female","female_pick","gender_feedback","western_participant","eastern_participant","higher_incentive","Chinese_female","SouthKorean_female","Italian_female","German_female","is_chinese_participant","is_korean_participant","is_italian_participant","is_german_participant","gender_male","race_white","age","country","cond","Q33_1","Q33_2","Q33_3","Q33_4","Q33_5","Q33_6","Q33_7","Q33_8","Q33_9","Q33_10","Q33_11","Q33_12","Q33_13","Q33_14","Q33_15","Q33_16","Q33_17","Q33_18","Q33_19","Q33_20","Q33_21","Q33_22","Q33_23","Q33_24","Professor1","Professor2","Professor3","Professor4","Professor5","Professor6","Professor7","Professor8","Professor9","Professor10","Professor11","Professor12","Professor13","Professor14","Professor15","Professor16","Professor17","Professor18","Professor19","Professor20","Professor21","Professor22","Professor23","Professor24","P_gender_unrecognized"
454,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,26,"China","control","Male","Female","Female","Male","Male","Male","Female","Male","Male","Male","Male","Male","Male","Unknown","Unknown","Unknown","Female","Female","Unknown","Male","Female","Unknown","Male","Male","Gerardo","Xuhua","Jinghua","Kil-nam","Ludger","Roberto","Sucheng","Job-Gunter","Junliang","Ciro","Yong-pil","Engelbert","In-ho","In-jin","Ky-chun","Anty","Jong-sei","Xuetao","Wedig","Gontard","Beatrix","Luis","Dino","Shenggen",0.208333333333333
455,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,23,"China","treat","Female","Male","Male","Male","Female","Female","Male","Female","Male","Female","Male","Female","Female","Female","Male","Male","Female","Female","Female","Female","Male","Male","Female","Female","Ciro","Kil-nam","Claus-Peter","Xuetao","Anty","Renato","Ky-chun","Weilie","Baek-in","Xinyuan","Sucheng","Lionello","Longjin","Kyongae","In-jin","Ditmar","Gerardo","Beatrix","Wedig","Jan","Kwang-je","Job-Gunter","Luis","Canfa",0
456,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,38,"China","control","Male","Male","Female","Female","Female","Male","Male","Unknown","Female","Male","Female","Male","Male","Female","Female","Female","Male","Female","Male","Male","Male","Male","Female","Female","Udo","Ludger","Baek-in","Bettine","Choong-soo","Luis","Ping","Demetrio","Hei-sook","Ky-chun","Junliang","Roberto","Engelbert","Jinghua","Alma","Kwang-je","Gerardo","Canfa","Dino","Dong","Job-Gunter","Ditmar","Jong-sei","Weilie",0.0416666666666667
457,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,30,"China","treat","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Male","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Male","In-jin","Sung-hee","Gerardo","Canfa","Kwang-je","Ping","Ditmar","Baek-in","Luis","Claus-Peter","Ciro","Lionello","Li","Jong-sei","Choong-soo","Xuhua","Renata","Trude","Engelbert","Xuetao","Wedig","Gontard","Junliang","Roberto",0.916666666666667
458,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,43,"China","treat","Unknown","Male","Unknown","Unknown","Male","Unknown","Male","Unknown","Male","Male","Unknown","Unknown","Female","Male","Unknown","Male","Unknown","Unknown","Unknown","Female","Unknown","Unknown","Unknown","Male","Xuhua","Demetrio","Wedig","Baek-in","Engelbert","Trude","Ferdinando","Sung-chul","Ciro","Claus-Peter","Shenggen","Kwang-je","Choong-soo","Lionello","Gontard","Lino","Yong-pil","Mariassunta","Sung-hee","Wenying","Weilie","Ditmar","Canfa","Xuetao",0.583333333333333
459,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,36,"China","control","Male","Male","Female","Female","Male","Male","Female","Female","Female","Female","Male","Male","Female","Female","Male","Female","Female","Male","Male","Female","Male","Male","Female","Female","Xinyuan","Greta","Ky-chun","Lino","Choong-soo","Gontard","Jan","Dino","In-jin","Lionello","Hei-sook","Claus-Peter","Yong-pil","Jinghua","Demetrio","Dora","Ferdinando","Jong-sei","Engelbert","Ning","Longjin","Gernulf","Shenggen","Xuetao",0
460,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,44,"China","control","Male","Unknown","Unknown","Male","Male","Male","Unknown","Unknown","Male","Unknown","Unknown","Male","Unknown","Female","Unknown","Unknown","Unknown","Unknown","Male","Unknown","Unknown","Male","Unknown","Unknown","Luis","Ditmar","Engelbert","Demetrio","Ferdinando","Lino","Kil-nam","Ludger","Junliang","Gernulf","Jinghua","Xuetao","Ky-chun","Stefania","In-ho","Bong-ho","Job-Gunter","In-jin","Weilie","Beatrix","Miaoqing","Gerardo","Ping","Jong-sei",0.625
461,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,24,"China","treat","Male","Male","Male","Male","Female","Female","Male","Male","Male","Male","Female","Male","Unknown","Female","Female","Female","Female","Unknown","Male","Male","Male","Female","Female","Male","Longjin","Ciro","Jinghua","Udo","Lionello","Ky-chun","Ditmar","Gernulf","Zhizhen","Demetrio","In-jin","Luis","Yong-pil","Xuhua","Jong-sei","Canfa","Greta","Bong-ho","Claus-Peter","Gontard","Hei-sook","Lino","Alma","Junliang",0.0833333333333333
462,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,28,"China","control","Female","Unknown","Female","Unknown","Unknown","Unknown","Male","Unknown","Unknown","Female","Female","Unknown","Male","Male","Male","Male","Unknown","Unknown","Unknown","Male","Female","Male","Male","Male","Greta","Anty","Yinhe","Yong-pil","Wedig","In-jin","Jong-sei","Xinyuan","Ping","Canfa","Renato","Xuetao","Ky-chun","Engelbert","Luis","Gerardo","Job-Gunter","Kil-nam","Ferdinando","Ditmar","Xuhua","Claus-Peter","Lionello","Kyongae",0.416666666666667
463,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,32,"China","treat","Unknown","Unknown","Male","Unknown","Male","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Male","Unknown","Unknown","Unknown","Unknown","Unknown","Male","Female","Male","Unknown","Unknown","Unknown","Hong-nam","Ditmar","Junliang","Choong-soo","Xuetao","Gernulf","Ferdinando","Lino","Wedig","In-jin","Bong-ho","Claus-Peter","Shenggen","Kil-nam","Sucheng","Demetrio","Ludger","Kwang-je","Roberto","Dora","Trude","Ciro","Xuhua","Longjin",0.75
464,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,29,"China","control","Male","Female","Male","Male","Male","Male","Male","Male","Male","Female","Female","Male","Female","Male","Male","Male","Male","Male","Female","Male","Female","Male","Male","Male","Kwang-je","Renata","Claus-Peter","Ciro","Ky-chun","Dino","Ferdinando","Wedig","Sung-chul","Choong-soo","Xuetao","Ping","Wenying","Ludger","Job-Gunter","Gerardo","Longjin","Xinyuan","Kyongae","Kil-nam","Xuhua","Trude","Lino","Ditmar",0
465,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,35,"China","treat","Male","Male","Female","Female","Male","Male","Female","Female","Female","Male","Male","Female","Female","Male","Male","Male","Female","Male","Male","Male","Male","Male","Male","Male","Xuhua","Kwang-je","Ditmar","Sung-hee","Claus-Peter","Gernulf","Ana","Jinghua","Xuetao","Baek-in","Choong-soo","Jan","Jong-sei","Lino","Demetrio","Engelbert","Ning","Renato","Augusta","Junliang","In-jin","Dino","Weilie","Luis",0
466,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,22,"China","treat","Male","Male","Male","Male","Female","Male","Male","Female","Female","Male","Female","Male","Male","Male","Female","Male","Male","Male","Female","Male","Male","Male","Male","Male","Kwang-je","Ludger","Claus-Peter","Ferdinando","Dora","Gernulf","Engelbert","Xuetao","Xuhua","Baek-in","Xinyuan","Kil-nam","Canfa","Shenggen","Wenying","Heike","Ciro","Yong-pil","Sung-hee","Dino","Roberto","Demetrio","Wedig","In-jin",0
467,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,28,"China","control","Male","Male","Unknown","Unknown","Unknown","Male","Male","Female","Unknown","Female","Male","Female","Unknown","Female","Female","Male","Female","Male","Unknown","Unknown","Unknown","Female","Unknown","Male","Luis","Xuetao","Jong-sei","Beatrix","Lucetta","Roberto","Job-Gunter","Weilie","Hei-sook","Ping","Engelbert","Miaoqing","Ky-chun","Longjin","Jan","Udo","In-jin","Dino","Choong-soo","Gontard","Canfa","Ciro","Sung-chul","Gerardo",0.375
468,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,23,"China","control","Unknown","Male","Unknown","Male","Unknown","Female","Unknown","Unknown","Male","Female","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Male","Unknown","Unknown","Unknown","Unknown","Unknown","Roberto","Junliang","Ditmar","Ludger","Kwang-je","Luis","Dong","Lionello","Xuhua","Ana","Wedig","Gontard","Engelbert","Demetrio","Eugenia","Bong-ho","Lino","Sung-chul","Weilie","Ping","Kil-nam","Baek-in","Canfa","Choon-mie",0.75
469,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,29,"China","control","Male","Male","Male","Male","Male","Female","Female","Male","Male","Female","Male","Female","Female","Female","Male","Male","Female","Male","Male","Male","Male","Male","Female","Female","Engelbert","Claus-Peter","Ciro","Bok-ryeo","Ferdinando","Jong-sei","Ky-chun","Gerardo","Dino","Li","Luis","Wedig","Sung-chul","Jinghua","Gontard","Bong-ho","Longjin","Eugenia","Mechtild","Weilie","Job-Gunter","Kil-nam","Ping","Xuhua",0
470,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,24,"China","treat","Male","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Female","Unknown","Male","Unknown","Unknown","Female","Unknown","Male","Unknown","Unknown","Male","Unknown","Unknown","Female","Female","Unknown","Female","Claus-Peter","Weilie","Hong-nam","Ky-chun","Kwang-je","Lionello","Lino","Wenying","Shenggen","Ferdinando","Ditmar","Junliang","Greta","Kil-nam","Gernulf","Gontard","Udo","Gerardo","Ciro","Choong-soo","Alma","Baek-in","Xuhua","Jinghua",0.625
471,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,34,"China","treat","Unknown","Female","Female","Male","Male","Unknown","Male","Unknown","Male","Male","Female","Male","Male","Female","Unknown","Female","Male","Male","Unknown","Male","Male","Male","Unknown","Female","Bong-ho","Kil-nam","Xinyuan","Gerardo","Renato","Canfa","Engelbert","Jong-sei","Gontard","Gernulf","Xuhua","Roberto","Ludger","Miaoqing","Hong-nam","Augusta","Baek-in","Dino","Weilie","Shenggen","Jan","Luis","Ky-chun","Melanie",0.25
472,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,22,"China","treat","Female","Male","Male","Male","Male","Male","Female","Male","Male","Female","Female","Male","Male","Female","Male","Male","Male","Female","Male","Male","Female","Female","Female","Female","Junliang","Ferdinando","Ciro","Longjin","Lino","Demetrio","Isabel","Engelbert","Jong-sei","Kwang-je","Kyongae","Ky-chun","Baek-in","Yinhe","Luis","Wedig","Ditmar","Lucetta","Kil-nam","Gontard","Udo","Jinghua","Xinyuan","Xuhua",0
473,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,39,"China","treat","Female","Male","Female","Female","Male","Female","Male","Female","Female","Female","Female","Male","Male","Female","Female","Female","Female","Female","Female","Male","Male","Male","Female","Female","Junliang","Bong-ho","Kil-nam","Ning","Udo","Sung-hee","Claus-Peter","Greta","Ky-chun","Kwang-je","Ping","Dino","Ludger","Wedig","Lionello","Jinghua","Demetrio","Lino","Baek-in","Roberto","Mariassunta","Ditmar","Longjin","Xuhua",0
474,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,29,"China","control","Male","Male","Female","Male","Male","Male","Male","Female","Female","Male","Male","Male","Female","Female","Male","Male","Male","Female","Female","Male","Female","Male","Male","Male","Miaoqing","Ky-chun","Xuetao","Yong-pil","Gontard","Yeong-hui","Roberto","Isabel","Xuhua","Engelbert","Luis","Ditmar","In-jin","Weilie","Ciro","Ludger","Dino","Renata","Xinyuan","Baek-in","Junliang","Udo","Kwang-je","Demetrio",0
475,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,32,"China","treat","Male","Male","Male","Male","Female","Female","Male","Male","Male","Male","Male","Male","Male","Female","Female","Male","Male","Male","Male","Male","Male","Male","Female","Male","Weilie","Baek-in","Xuhua","Gontard","Lucetta","Melanie","Udo","Xinyuan","Ping","Ferdinando","Gerardo","Renato","Roberto","Choon-mie","Yinhe","Ciro","Kwang-je","Canfa","Jong-sei","Yong-pil","Ludger","Wedig","Jan","Ky-chun",0
476,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,25,"China","control","Female","Male","Unknown","Male","Female","Male","Male","Male","Male","Female","Male","Male","Male","Male","Unknown","Male","Male","Female","Male","Male","Male","Male","Male","Unknown","Mechtild","Choong-soo","Wenying","Engelbert","Canfa","Demetrio","Renato","Lionello","Wedig","Alma","Shenggen","Luis","Gerardo","Junliang","Baek-in","Kil-nam","Job-Gunter","Choon-mie","Jong-sei","Xuhua","Ditmar","Gontard","Kwang-je","Ping",0.125
477,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,29,"China","control","Male","Female","Male","Male","Male","Female","Male","Male","Male","Male","Male","Female","Male","Female","Female","Male","Male","Male","Male","Female","Unknown","Male","Male","Female","Gernulf","Xuhua","Ky-chun","Roberto","Gerardo","Hei-sook","Sung-chul","Demetrio","Junliang","Dino","Kil-nam","Jan","Ping","Augusta","Ning","Udo","Job-Gunter","Choong-soo","Gontard","Jinghua","Shenggen","Luis","Yong-pil","Ethel",0.0416666666666667
478,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,24,"China","treat","Unknown","Unknown","Male","Unknown","Female","Unknown","Unknown","Unknown","Unknown","Unknown","Male","Unknown","Male","Unknown","Male","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Male","Female","Unknown","Lionello","Baek-in","Gernulf","Xuetao","Isabel","Junliang","Ky-chun","In-jin","Dino","Yeong-hui","Jong-sei","Shenggen","Sung-chul","Alma","Claus-Peter","Gerardo","Job-Gunter","Ferdinando","Ping","Luis","Engelbert","Xiaoyi","Jan","Canfa",0.708333333333333
479,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,38,"China","treat","Male","Male","Female","Male","Female","Unknown","Male","Male","Male","Male","Male","Male","Male","Female","Male","Male","Female","Female","Male","Male","Female","Male","Male","Male","Sung-chul","Shenggen","Kwang-je","Roberto","Dora","Udo","Beatrix","Ping","Choong-soo","Demetrio","Gernulf","Dong","Lionello","Jinghua","Wedig","Ciro","Yong-pil","In-ho","Engelbert","In-jin","Xuetao","Ferdinando","Claus-Peter","Longjin",0.0416666666666667
480,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,30,"China","control","Unknown","Unknown","Unknown","Unknown","Male","Male","Male","Male","Male","Male","Unknown","Unknown","Unknown","Female","Unknown","Unknown","Unknown","Male","Unknown","Male","Unknown","Unknown","Unknown","Male","Kil-nam","Kyongae","Weilie","Baek-in","Lino","Gerardo","Ferdinando","Gontard","Shenggen","Junliang","Kwang-je","Ciro","Trude","Lucetta","Sung-chul","Wedig","Ping","Dino","Ditmar","Claus-Peter","Yinhe","Jong-sei","Longjin","Job-Gunter",0.583333333333333
481,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,23,"China","treat","Male","Unknown","Female","Female","Male","Male","Female","Female","Male","Male","Male","Male","Male","Male","Male","Male","Male","Unknown","Male","Male","Male","Female","Male","Female","Ciro","Yong-pil","Xinyuan","Yinhe","In-jin","Weilie","Lucetta","Jan","Jong-sei","Wedig","Ferdinando","Xuhua","Kwang-je","Lionello","Gontard","Xuetao","Gernulf","Kyongae","Gerardo","Kil-nam","Roberto","Shenggen","Job-Gunter","Trude",0.0833333333333333
482,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,53,"China","control","Male","Male","Female","Female","Unknown","Male","Male","Female","Male","Male","Unknown","Male","Male","Male","Male","Unknown","Male","Male","Unknown","Male","Male","Male","Male","Male","Claus-Peter","Gerardo","Jinghua","Sucheng","Kil-nam","Baek-in","Xuetao","Kwang-je","Augusta","Udo","Canfa","Hong-nam","Xinyuan","Ky-chun","Demetrio","Gernulf","Roberto","Junliang","Mechtild","Dino","Renato","Wedig","Gontard","In-jin",0.166666666666667
483,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,24,"China","control","Unknown","Unknown","Female","Male","Unknown","Unknown","Male","Male","Female","Male","Male","Unknown","Unknown","Male","Male","Unknown","Female","Male","Unknown","Unknown","Unknown","Unknown","Male","Unknown","Xinyuan","Choong-soo","Ana","Lino","Udo","In-jin","Ping","Ditmar","Miaoqing","Lionello","Luis","Wedig","Ciro","Job-Gunter","Roberto","Bong-ho","Weilie","Engelbert","Anty","Sung-hee","Baek-in","Canfa","Kwang-je","Xuetao",0.5
484,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,28,"China","treat","Unknown","Unknown","Unknown","Male","Unknown","Unknown","Unknown","Unknown","Male","Unknown","Male","Unknown","Unknown","Male","Unknown","Male","Unknown","Unknown","Unknown","Unknown","Female","Unknown","Unknown","Unknown","Longjin","Canfa","Bettine","Demetrio","Jan","Kwang-je","Baek-in","Anty","Gernulf","Ciro","Claus-Peter","Xuhua","Shenggen","Gerardo","Choong-soo","Dino","Junliang","In-jin","Hei-sook","Lionello","Wenying","Udo","Jong-sei","Wedig",0.75
485,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,23,"China","treat","Male","Female","Female","Male","Male","Female","Male","Female","Male","Male","Female","Female","Female","Female","Unknown","Female","Male","Female","Female","Unknown","Male","Male","Male","Female","Roberto","Bong-ho","Yeong-hui","Weilie","Heike","Xuhua","Demetrio","Kil-nam","Ludger","Longjin","In-jin","Choong-soo","Lionello","Wenying","Gontard","Xinyuan","Ky-chun","Ditmar","Maria","Gernulf","Udo","Ciro","Shenggen","Lino",0.0833333333333333
486,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,27,"China","control","Male","Unknown","Female","Unknown","Female","Unknown","Male","Female","Unknown","Female","Unknown","Female","Unknown","Unknown","Female","Female","Unknown","Male","Male","Unknown","Male","Unknown","Female","Female","Demetrio","Gernulf","Lionello","Canfa","Augusta","Choong-soo","Ky-chun","Ciro","Sucheng","Jinghua","Jan","Renato","Kyongae","Longjin","In-jin","Engelbert","Baek-in","Xuetao","Job-Gunter","Xinyuan","Luis","Wedig","Jong-sei","Melanie",0.416666666666667
487,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,39,"China","treat","Unknown","Unknown","Unknown","Male","Female","Male","Male","Unknown","Male","Male","Male","Male","Unknown","Male","Male","Male","Unknown","Unknown","Unknown","Male","Male","Female","Male","Female","Yong-pil","Bok-ryeo","Ciro","Anty","Xuhua","Shenggen","Claus-Peter","Sung-chul","Gerardo","Xuetao","Junliang","Lionello","Kwang-je","Engelbert","Jan","Luis","Kil-nam","Gontard","Jong-sei","Gernulf","Dino","Ning","Ping","Ana",0.333333333333333
488,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,29,"China","control","Male","Male","Male","Female","Female","Unknown","Female","Female","Female","Female","Male","Female","Female","Male","Male","Male","Male","Male","Unknown","Male","Unknown","Male","Unknown","Male","Ferdinando","Ludger","Claus-Peter","Renata","Shenggen","Baek-in","Bong-ho","Jan","Xuhua","Canfa","Jinghua","Choong-soo","Ethel","Gernulf","Dino","Luis","Renato","Ky-chun","In-young","Longjin","Udo","Yunhui","Yong-pil","Lionello",0.166666666666667
489,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,27,"China","treat","Male","Male","Male","Male","Male","Male","Male","Male","Female","Male","Male","Male","Female","Male","Female","Male","Male","Female","Female","Female","Male","Male","Female","Male","Lionello","Yong-pil","Hong-nam","Longjin","Gontard","Jan","Bong-ho","Claus-Peter","Wenying","Sung-chul","Luis","Shenggen","Ditmar","Renato","Kwang-je","Demetrio","Xinyuan","Ana","Weilie","Wedig","Lino","Ky-chun","Alma","Xuhua",0
490,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,25,"China","control","Female","Female","Male","Female","Male","Male","Female","Female","Male","Female","Male","Male","Female","Female","Female","Male","Male","Male","Female","Male","Female","Male","Male","Male","Jan","Renato","Ludger","Wenying","Kil-nam","Job-Gunter","Ping","Roberto","Xuetao","Kwang-je","Xuhua","Anty","Weilie","Ethel","In-jin","Gerardo","Ferdinando","Bong-ho","Hwa-jin","Junliang","Wedig","Ditmar","Sung-chul","Dino",0
491,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,27,"China","treat","Male","Male","Male","Female","Male","Female","Male","Male","Male","Male","Female","Male","Male","Male","Female","Female","Male","Female","Male","Male","Male","Female","Male","Male","Dino","Kyongae","Udo","Choong-soo","Ferdinando","Lucetta","Ditmar","Shenggen","Kil-nam","Renato","Canfa","Gontard","Baek-in","Ky-chun","Bettine","In-jin","Xuetao","Wedig","Xuhua","Weilie","Ludger","Li","Ciro","Lino",0
492,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,44,"China","control","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Female","Unknown","Unknown","Unknown","Male","Female","Female","Unknown","Unknown","Female","Unknown","Unknown","Unknown","Unknown","Unknown","Junliang","Li","In-jin","Hong-nam","Dino","Jan","Kwang-je","Gerardo","Xinyuan","Xuhua","Lino","Choong-soo","Job-Gunter","Claus-Peter","Beatrix","Mariassunta","Sung-chul","Udo","Ping","Ciro","Xuetao","Renato","Gernulf","Kil-nam",0.791666666666667
493,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,35,"China","control","Male","Male","Female","Female","Female","Male","Male","Male","Female","Male","Female","Male","Male","Male","Male","Male","Female","Male","Female","Male","Male","Male","Female","Female","Zhizhen","Claus-Peter","Wedig","Junliang","Canfa","Sung-chul","Weilie","Jong-sei","Kwang-je","Ciro","Xinyuan","Luis","Heike","Engelbert","Lionello","Ditmar","Baek-in","Roberto","Sung-hee","Ludger","Kil-nam","Lino","Xuhua","Maria",0
494,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,44,"China","treat","Unknown","Unknown","Unknown","Unknown","Male","Unknown","Unknown","Unknown","Unknown","Unknown","Male","Unknown","Unknown","Male","Female","Male","Male","Male","Female","Unknown","Female","Unknown","Male","Male","Xinyuan","Choong-soo","Shenggen","Weilie","Lino","Wedig","Yong-pil","Longjin","Bok-ryeo","Ky-chun","Luis","Xuetao","Miaoqing","Udo","Jan","Ditmar","Renato","Claus-Peter","Lucetta","Baek-in","Ana","Sung-chul","Ciro","Dino",0.541666666666667
495,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,27,"China","control","Male","Male","Male","Male","Female","Male","Unknown","Female","Male","Female","Female","Male","Male","Female","Female","Male","Female","Male","Female","Female","Female","Male","Male","Unknown","Dino","Longjin","Ethel","Ciro","Jinghua","Gernulf","Wedig","Ky-chun","Roberto","Xuhua","Xuetao","Li","Demetrio","Mariassunta","Ferdinando","Jan","Sung-chul","Bong-ho","Yong-pil","Ping","Hwa-jin","Engelbert","Ludger","Kil-nam",0.0833333333333333
496,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,23,"China","treat","Female","Male","Male","Female","Male","Male","Female","Male","Male","Male","Female","Male","Female","Male","Female","Female","Female","Male","Male","Male","Male","Male","Male","Male","Ana","Lino","Claus-Peter","Choong-soo","Xuhua","Ferdinando","Ping","Gerardo","Kwang-je","In-jin","Sung-hee","Jong-sei","Xinyuan","Engelbert","Alma","Xuetao","Sucheng","Wedig","Ky-chun","Ciro","Udo","Junliang","Gernulf","Dino",0
497,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,39,"China","treat","Female","Male","Male","Male","Female","Female","Male","Female","Male","Male","Female","Female","Male","Male","Female","Male","Male","Male","Female","Female","Male","Male","Male","Female","Wenying","Lino","Ferdinando","Claus-Peter","Yong-pil","Ethel","Lionello","Mariassunta","Ditmar","Xuhua","Kwang-je","Bok-ryeo","Ciro","Engelbert","Baek-in","Jan","Bong-ho","Dino","Sung-chul","Shenggen","Gernulf","Longjin","Canfa","Ping",0
498,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,35,"China","treat","Male","Female","Unknown","Unknown","Unknown","Unknown","Unknown","Male","Male","Male","Female","Female","Female","Female","Female","Unknown","Female","Male","Female","Male","Female","Female","Male","Unknown","Renato","Ethel","Engelbert","Ciro","Lino","Kwang-je","Kil-nam","Dino","Gernulf","Ludger","Mariassunta","Jong-sei","Sung-hee","Xuhua","Wenying","Jan","Sung-chul","Baek-in","Xuetao","Weilie","Xinyuan","Ping","Claus-Peter","Lionello",0.291666666666667
499,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,24,"China","control","Unknown","Male","Male","Unknown","Male","Male","Male","Unknown","Unknown","Unknown","Unknown","Female","Female","Male","Male","Unknown","Male","Male","Unknown","Unknown","Male","Male","Female","Male","Jong-sei","Lionello","Ky-chun","Mechtild","Weilie","Canfa","Dino","Li","Yong-pil","Kwang-je","Ditmar","Xinyuan","Xuhua","Gontard","Xuetao","In-young","Renato","Gernulf","Ciro","Kil-nam","Roberto","Claus-Peter","Renata","Udo",0.375
500,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,31,"China","control","Unknown","Female","Female","Male","Female","Male","Male","Unknown","Female","Female","Unknown","Unknown","Male","Female","Unknown","Unknown","Unknown","Male","Male","Male","Unknown","Unknown","Male","Male","Weilie","Xuhua","Maria","Claus-Peter","Jan","Ning","Roberto","Kil-nam","Xinyuan","Yeong-hui","Udo","Demetrio","Junliang","Luis","Jinghua","Yong-pil","Gernulf","Mechtild","Sung-chul","Ferdinando","Jong-sei","Baek-in","Engelbert","Renato",0.375
501,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,40,"China","treat","Female","Male","Female","Male","Male","Male","Female","Male","Male","Female","Male","Male","Male","Male","Female","Female","Male","Female","Male","Male","Male","Female","Male","Unknown","Longjin","Bong-ho","Jan","Jong-sei","Lionello","Canfa","Zhizhen","Kil-nam","Renato","Ping","Roberto","Gerardo","Ditmar","Ludger","Hwa-jin","Eugenia","Baek-in","Xuhua","Engelbert","Junliang","Kwang-je","Isabel","Luis","Wedig",0.0416666666666667
502,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,27,"China","treat","Female","Male","Male","Female","Male","Male","Female","Female","Male","Male","Female","Male","Male","Female","Female","Male","Male","Male","Male","Female","Male","Male","Female","Male","Ditmar","Jinghua","Lino","Hei-sook","Jan","Yunhui","Ciro","Ludger","Luis","Shenggen","Baek-in","Roberto","Kwang-je","Junliang","Udo","Renato","Jong-sei","Bong-ho","Weilie","Longjin","Bettine","Choong-soo","Augusta","Wedig",0
503,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,29,"China","control","Male","Female","Male","Unknown","Female","Female","Male","Male","Male","Male","Female","Female","Male","Male","Male","Male","Unknown","Male","Female","Female","Female","Female","Male","Female","Engelbert","Longjin","Ludger","Canfa","Trude","Jinghua","Gerardo","Sung-chul","Gontard","Ping","Xuhua","Zhizhen","Luis","Jong-sei","Bong-ho","Roberto","Ciro","Dino","Wedig","Jan","Hwa-jin","Maria","Ky-chun","Baek-in",0.0833333333333333
